activityID,qty,cost,risk,value
C0040,TRUE,FALSE,FALSE,0.055555556
C0040,TRUE,FALSE,FALSE,0.055555556
C0040,TRUE,FALSE,FALSE,0.055555556
C0040,TRUE,FALSE,FALSE,0.002508623
C0040,TRUE,FALSE,FALSE,0.002508623
C0130,TRUE,TRUE,FALSE,19343.97283
C0130,TRUE,TRUE,FALSE,19343.97283
C0130,TRUE,TRUE,FALSE,17215.42723
C0130,TRUE,TRUE,FALSE,17215.42723
C0130,TRUE,TRUE,FALSE,3444705
C0130,TRUE,TRUE,FALSE,3444705
C0130,TRUE,TRUE,FALSE,9509.486222
C0130,TRUE,TRUE,FALSE,9509.486222
C0130,TRUE,TRUE,FALSE,208890
C0130,TRUE,TRUE,FALSE,397388.7493
C0130,TRUE,TRUE,FALSE,598950
C0130,TRUE,TRUE,FALSE,5227.131667
C0140,TRUE,TRUE,FALSE,19343.97283
C0140,TRUE,TRUE,FALSE,19343.97283
C0140,TRUE,TRUE,FALSE,17215.42723
C0140,TRUE,TRUE,FALSE,17215.42723
C0140,TRUE,TRUE,FALSE,3444705
C0140,TRUE,TRUE,FALSE,3444705
C0140,TRUE,TRUE,FALSE,9509.486222
C0140,TRUE,TRUE,FALSE,9509.486222
C0140,TRUE,TRUE,FALSE,208890
C0140,TRUE,TRUE,FALSE,397388.7493
C0140,TRUE,TRUE,FALSE,598950
C0140,TRUE,TRUE,FALSE,5227.131667
C0190,TRUE,TRUE,FALSE,19343.97283
C0190,TRUE,TRUE,FALSE,19343.97283
C0190,TRUE,TRUE,FALSE,17215.42723
C0190,TRUE,TRUE,FALSE,17215.42723
C0190,TRUE,TRUE,FALSE,3444705
C0190,TRUE,TRUE,FALSE,3444705
C0190,TRUE,TRUE,FALSE,9509.486222
C0190,TRUE,TRUE,FALSE,9509.486222
C0190,TRUE,TRUE,FALSE,208890
C0190,TRUE,TRUE,FALSE,397388.7493
C0190,TRUE,TRUE,FALSE,598950
C0190,TRUE,TRUE,FALSE,5227.131667
C0200,TRUE,TRUE,FALSE,19343.97283
C0200,TRUE,TRUE,FALSE,19343.97283
C0200,TRUE,TRUE,FALSE,17215.42723
C0200,TRUE,TRUE,FALSE,17215.42723
C0200,TRUE,TRUE,FALSE,3444705
C0200,TRUE,TRUE,FALSE,3444705
C0200,TRUE,TRUE,FALSE,9509.486222
C0200,TRUE,TRUE,FALSE,9509.486222
C0200,TRUE,TRUE,FALSE,208890
C0200,TRUE,TRUE,FALSE,397388.7493
C0200,TRUE,TRUE,FALSE,598950
C0200,TRUE,TRUE,FALSE,5227.131667
C0220,TRUE,TRUE,FALSE,19343.97283
C0220,TRUE,TRUE,FALSE,19343.97283
C0220,TRUE,TRUE,FALSE,17215.42723
C0220,TRUE,TRUE,FALSE,17215.42723
