activityID,value,qty,cost,risk
P0040,2.440677966,FALSE,FALSE,TRUE
P0040,7.698113208,FALSE,FALSE,TRUE
P0040,14.77966102,FALSE,FALSE,TRUE
P0040,2.285714286,FALSE,FALSE,TRUE
P0040,4,FALSE,FALSE,TRUE
P0040,12.17777778,FALSE,FALSE,TRUE
P0040,11.69565217,FALSE,FALSE,TRUE
P0040,7.466666667,FALSE,FALSE,TRUE
P0040,6.956521739,FALSE,FALSE,TRUE
P0040,17.48453608,FALSE,FALSE,TRUE
P0040,8.545454546,FALSE,FALSE,TRUE
P0040,0.918032787,FALSE,FALSE,TRUE
P0060,2.440677966,FALSE,FALSE,TRUE
P0060,7.698113208,FALSE,FALSE,TRUE
P0060,14.77966102,FALSE,FALSE,TRUE
P0060,2.285714286,FALSE,FALSE,TRUE
P0060,4,FALSE,FALSE,TRUE
P0060,12.17777778,FALSE,FALSE,TRUE
P0060,11.69565217,FALSE,FALSE,TRUE
P0060,7.466666667,FALSE,FALSE,TRUE
P0060,35.63636364,FALSE,FALSE,TRUE
P0060,83.94805195,FALSE,FALSE,TRUE
P0060,6.956521739,FALSE,FALSE,TRUE
P0060,17.48453608,FALSE,FALSE,TRUE
P0060,8.545454546,FALSE,FALSE,TRUE
P0060,0.918032787,FALSE,FALSE,TRUE
P0020,0.915254237,FALSE,FALSE,TRUE
P0020,2.886792453,FALSE,FALSE,TRUE
P0020,5.542372881,FALSE,FALSE,TRUE
P0020,0.857142857,FALSE,FALSE,TRUE
P0020,1.5,FALSE,FALSE,TRUE
P0020,4.566666667,FALSE,FALSE,TRUE
P0020,4.385869565,FALSE,FALSE,TRUE
P0020,2.8,FALSE,FALSE,TRUE
P0020,13.36363636,FALSE,FALSE,TRUE
P0020,31.48051948,FALSE,FALSE,TRUE
P0020,2.608695652,FALSE,FALSE,TRUE
P0020,6.556701031,FALSE,FALSE,TRUE
P0020,3.204545455,FALSE,FALSE,TRUE
P0020,0.344262295,FALSE,FALSE,TRUE
P0030,1.50997151,FALSE,FALSE,TRUE
P0030,1.053846154,FALSE,FALSE,TRUE
P0030,0.950782998,FALSE,FALSE,TRUE
P0030,1.298591549,FALSE,FALSE,TRUE
P0030,1.672222222,FALSE,FALSE,TRUE
P0030,0.964646465,FALSE,FALSE,TRUE
P0030,0.944444444,FALSE,FALSE,TRUE
P0030,1.3375,FALSE,FALSE,TRUE
P0030,1.051194539,FALSE,FALSE,TRUE
P0030,1,FALSE,FALSE,TRUE
P0030,1.049800797,FALSE,FALSE,TRUE
P0030,1.077562327,FALSE,FALSE,TRUE
P0030,0.979296066,FALSE,FALSE,TRUE
P0030,1.494708995,FALSE,FALSE,TRUE
P0050,4.52991453,FALSE,FALSE,TRUE
P0050,3.161538462,FALSE,FALSE,TRUE
P0050,2.852348993,FALSE,FALSE,TRUE
P0050,3.895774648,FALSE,FALSE,TRUE
P0050,5.016666667,FALSE,FALSE,TRUE
P0050,2.893939394,FALSE,FALSE,TRUE
P0050,2.833333333,FALSE,FALSE,TRUE
P0050,4.0125,FALSE,FALSE,TRUE
P0050,3.153583618,FALSE,FALSE,TRUE
P0050,3,FALSE,FALSE,TRUE
P0050,3.14940239,FALSE,FALSE,TRUE
P0050,3.232686981,FALSE,FALSE,TRUE
P0050,2.937888199,FALSE,FALSE,TRUE
P0050,4.484126984,FALSE,FALSE,TRUE
P0070,3.01994302,FALSE,FALSE,TRUE
P0070,2.107692308,FALSE,FALSE,TRUE
P0070,1.901565996,FALSE,FALSE,TRUE
P0070,2.597183099,FALSE,FALSE,TRUE
P0070,3.344444444,FALSE,FALSE,TRUE
P0070,1.929292929,FALSE,FALSE,TRUE
P0070,1.888888889,FALSE,FALSE,TRUE
P0070,2.675,FALSE,FALSE,TRUE
P0070,2.102389078,FALSE,FALSE,TRUE
P0070,2,FALSE,FALSE,TRUE
P0070,2.099601594,FALSE,FALSE,TRUE
P0070,2.155124654,FALSE,FALSE,TRUE
P0070,1.958592133,FALSE,FALSE,TRUE
P0070,2.989417989,FALSE,FALSE,TRUE
